Àrea Bàsica Policial (ABP)
ABP Alt Camp - C. de Barberà
ABP Alt Empordà - Figueres
ABP Alt Empordà - Roses
ABP Alt Penedès
ABP Alt Urgell
ABP Anoia
ABP Arenys de Mar
ABP Badalona
ABP Bages
ABP Baix Camp - Priorat
ABP Baix Ebre
ABP Baix Empordà - La Bisbal
ABP Baix Empordà - Sant Feliu
ABP Baix Penedès
ABP Barcelona
ABP Berguedà
ABP Cerdanya
ABP Cerdanyola
ABP Ciutat Vella
ABP Cornellà de Llobregat
ABP Eixample
ABP el Prat de Llobregat
ABP Esplugues de Llobregat
ABP Garraf
ABP Garrigues - Pla d'Urgell
ABP Garrotxa
ABP Gavà
ABP Gironès - Pla de l'Estany
ABP Gràcia
ABP Granollers
ABP Horta-Guinardó
ABP Les Corts
ABP l'Hospitalet de Llobregat
ABP Martorell
ABP Mataró
ABP Mollet del Vallès
ABP Montsià
ABP Noguera
ABP Nou Barris
ABP Osona
ABP Pallars Jussà - Pallars Sobirà
ABP Premià de Mar
ABP Ripollès
ABP Rubí
ABP Sabadell
ABP Sant Andreu
ABP Sant Boi de Llobregat
ABP Sant Feliu de Llobregat
ABP Sant Martí
ABP Santa Coloma de Gramenet
ABP Sants-Montjuïc
ABP Sarrià-Sant Gervasi
ABP Segarra - Urgell
ABP Segrià
ABP Segrià - Garrigues - Pla d'Urgell
ABP Selva Interior
ABP Selva Litoral
ABP Solsonès
ABP Tarragonès
ABP Terra Alta - Ribera d'Ebre
ABP Terrassa
ABP Vall d'Aran - Alta Ribagorça
