SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S1,TOTAL,Y041,TOTAL,POP,,126353
2012S1,TOTAL,Y042,M,POP,,63278
2012S1,TOTAL,Y042,F,POP,,58953
2012S1,TOTAL,Y042,TOTAL,POP,,122231
2012S1,TOTAL,Y043,M,POP,,62553
2012S1,TOTAL,Y043,F,POP,,57948
2012S1,TOTAL,Y043,TOTAL,POP,,120501
2012S1,TOTAL,Y044,M,POP,,61939
2012S1,TOTAL,Y044,F,POP,,58574
2012S1,TOTAL,Y044,TOTAL,POP,,120513
2012S1,TOTAL,Y045,M,POP,,60356
2012S1,TOTAL,Y045,F,POP,,56837
2012S1,TOTAL,Y045,TOTAL,POP,,117193
2012S1,TOTAL,Y046,M,POP,,58937
2012S1,TOTAL,Y046,F,POP,,56503
2012S1,TOTAL,Y046,TOTAL,POP,,115440
2012S1,TOTAL,Y047,M,POP,,58958
2012S1,TOTAL,Y047,F,POP,,56811
2012S1,TOTAL,Y047,TOTAL,POP,,115769
2012S1,TOTAL,Y048,M,POP,,54617
2012S1,TOTAL,Y048,F,POP,,53990
2012S1,TOTAL,Y048,TOTAL,POP,,108607
2012S1,TOTAL,Y049,M,POP,,53320
2012S1,TOTAL,Y049,F,POP,,52390
2012S1,TOTAL,Y049,TOTAL,POP,,105710
2012S1,TOTAL,Y050,M,POP,,50961
2012S1,TOTAL,Y050,F,POP,,51479
2012S1,TOTAL,Y050,TOTAL,POP,,102440
2012S1,TOTAL,Y051,M,POP,,50953
2012S1,TOTAL,Y051,F,POP,,51481
2012S1,TOTAL,Y051,TOTAL,POP,,102434
2012S1,TOTAL,Y052,M,POP,,49642
2012S1,TOTAL,Y052,F,POP,,50867
2012S1,TOTAL,Y052,TOTAL,POP,,100509
2012S1,TOTAL,Y053,M,POP,,49047
2012S1,TOTAL,Y053,F,POP,,50124
2012S1,TOTAL,Y053,TOTAL,POP,,99171
2012S1,TOTAL,Y054,M,POP,,47439
2012S1,TOTAL,Y054,F,POP,,48917
2012S1,TOTAL,Y054,TOTAL,POP,,96356
2012S1,TOTAL,Y055,M,POP,,44503
2012S1,TOTAL,Y055,F,POP,,46005
2012S1,TOTAL,Y055,TOTAL,POP,,90508
2012S1,TOTAL,Y056,M,POP,,43477
2012S1,TOTAL,Y056,F,POP,,44940
2012S1,TOTAL,Y056,TOTAL,POP,,88417
2012S1,TOTAL,Y057,M,POP,,41752
2012S1,TOTAL,Y057,F,POP,,43865
2012S1,TOTAL,Y057,TOTAL,POP,,85617
2012S1,TOTAL,Y058,M,POP,,41575
2012S1,TOTAL,Y058,F,POP,,43436
2012S1,TOTAL,Y058,TOTAL,POP,,85011
2012S1,TOTAL,Y059,M,POP,,41411
2012S1,TOTAL,Y059,F,POP,,43439
2012S1,TOTAL,Y059,TOTAL,POP,,84850
2012S1,TOTAL,Y060,M,POP,,38449
2012S1,TOTAL,Y060,F,POP,,41023
2012S1,TOTAL,Y060,TOTAL,POP,,79472
2012S1,TOTAL,Y061,M,POP,,37253
2012S1,TOTAL,Y061,F,POP,,39889
2012S1,TOTAL,Y061,TOTAL,POP,,77142
2012S1,TOTAL,Y062,M,POP,,39081
2012S1,TOTAL,Y062,F,POP,,41738
2012S1,TOTAL,Y062,TOTAL,POP,,80819
2012S1,TOTAL,Y063,M,POP,,40693
2012S1,TOTAL,Y063,F,POP,,44400
2012S1,TOTAL,Y063,TOTAL,POP,,85093
2012S1,TOTAL,Y064,M,POP,,37164
2012S1,TOTAL,Y064,F,POP,,40159
2012S1,TOTAL,Y064,TOTAL,POP,,77323
2012S1,TOTAL,Y065,M,POP,,34474
2012S1,TOTAL,Y065,F,POP,,37923
2012S1,TOTAL,Y065,TOTAL,POP,,72397
2012S1,TOTAL,Y066,M,POP,,36249
2012S1,TOTAL,Y066,F,POP,,39806
2012S1,TOTAL,Y066,TOTAL,POP,,76055
2012S1,TOTAL,Y067,M,POP,,33538
2012S1,TOTAL,Y067,F,POP,,37561
2012S1,TOTAL,Y067,TOTAL,POP,,71099
2012S1,TOTAL,Y068,M,POP,,32482
2012S1,TOTAL,Y068,F,POP,,36434
2012S1,TOTAL,Y068,TOTAL,POP,,68916
2012S1,TOTAL,Y069,M,POP,,27636
2012S1,TOTAL,Y069,F,POP,,30908
2012S1,TOTAL,Y069,TOTAL,POP,,58544
2012S1,TOTAL,Y070,M,POP,,25591
2012S1,TOTAL,Y070,F,POP,,29187
2012S1,TOTAL,Y070,TOTAL,POP,,54778
2012S1,TOTAL,Y071,M,POP,,32048
2012S1,TOTAL,Y071,F,POP,,36137
2012S1,TOTAL,Y071,TOTAL,POP,,68185
2012S1,TOTAL,Y072,M,POP,,17706
2012S1,TOTAL,Y072,F,POP,,20706
2012S1,TOTAL,Y072,TOTAL,POP,,38412
2012S1,TOTAL,Y073,M,POP,,21433
2012S1,TOTAL,Y073,F,POP,,25561
2012S1,TOTAL,Y073,TOTAL,POP,,46994
2012S1,TOTAL,Y074,M,POP,,25342
2012S1,TOTAL,Y074,F,POP,,30752
2012S1,TOTAL,Y074,TOTAL,POP,,56094
2012S1,TOTAL,Y075,M,POP,,25732
2012S1,TOTAL,Y075,F,POP,,33068
2012S1,TOTAL,Y075,TOTAL,POP,,58800
2012S1,TOTAL,Y076,M,POP,,24221
2012S1,TOTAL,Y076,F,POP,,31317
2012S1,TOTAL,Y076,TOTAL,POP,,55538
2012S1,TOTAL,Y077,M,POP,,23134
2012S1,TOTAL,Y077,F,POP,,30504
2012S1,TOTAL,Y077,TOTAL,POP,,53638
2012S1,TOTAL,Y078,M,POP,,22840
2012S1,TOTAL,Y078,F,POP,,30974
2012S1,TOTAL,Y078,TOTAL,POP,,53814
2012S1,TOTAL,Y079,M,POP,,21391
2012S1,TOTAL,Y079,F,POP,,30162
2012S1,TOTAL,Y079,TOTAL,POP,,51553
2012S1,TOTAL,Y080,M,POP,,19431
2012S1,TOTAL,Y080,F,POP,,28580
2012S1,TOTAL,Y080,TOTAL,POP,,48011
2012S1,TOTAL,Y081,M,POP,,18426
2012S1,TOTAL,Y081,F,POP,,28162
2012S1,TOTAL,Y081,TOTAL,POP,,46588
2012S1,TOTAL,Y082,M,POP,,16191
2012S1,TOTAL,Y082,F,POP,,25113
2012S1,TOTAL,Y082,TOTAL,POP,,41304
2012S1,TOTAL,Y083,M,POP,,14604
2012S1,TOTAL,Y083,F,POP,,23940
2012S1,TOTAL,Y083,TOTAL,POP,,38544
2012S1,TOTAL,Y084,M,POP,,12820
2012S1,TOTAL,Y084,F,POP,,21854
2012S1,TOTAL,Y084,TOTAL,POP,,34674
2012S1,TOTAL,Y085,M,POP,,11586
2012S1,TOTAL,Y085,F,POP,,21176
2012S1,TOTAL,Y085,TOTAL,POP,,32762
2012S1,TOTAL,Y086,M,POP,,9875
2012S1,TOTAL,Y086,F,POP,,18694
2012S1,TOTAL,Y086,TOTAL,POP,,28569
2012S1,TOTAL,Y087,M,POP,,8508
2012S1,TOTAL,Y087,F,POP,,17023
2012S1,TOTAL,Y087,TOTAL,POP,,25531
2012S1,TOTAL,Y088,M,POP,,7174
2012S1,TOTAL,Y088,F,POP,,14556
2012S1,TOTAL,Y088,TOTAL,POP,,21730
2012S1,TOTAL,Y089,M,POP,,5711
2012S1,TOTAL,Y089,F,POP,,13092
2012S1,TOTAL,Y089,TOTAL,POP,,18803
2012S1,TOTAL,Y090,M,POP,,4632
2012S1,TOTAL,Y090,F,POP,,10512
2012S1,TOTAL,Y090,TOTAL,POP,,15144
2012S1,TOTAL,Y091,M,POP,,3299
2012S1,TOTAL,Y091,F,POP,,8764
2012S1,TOTAL,Y091,TOTAL,POP,,12063
2012S1,TOTAL,Y092,M,POP,,2189
2012S1,TOTAL,Y092,F,POP,,6398
2012S1,TOTAL,Y092,TOTAL,POP,,8587
2012S1,TOTAL,Y093,M,POP,,1693
2012S1,TOTAL,Y093,F,POP,,5188
2012S1,TOTAL,Y093,TOTAL,POP,,6881
2012S1,TOTAL,Y094,M,POP,,1210
2012S1,TOTAL,Y094,F,POP,,3951
2012S1,TOTAL,Y094,TOTAL,POP,,5161
2012S1,TOTAL,Y095,M,POP,,905
2012S1,TOTAL,Y095,F,POP,,2924
2012S1,TOTAL,Y095,TOTAL,POP,,3829
2012S1,TOTAL,Y096,M,POP,,630
