any;Catalunya;edat any a any;nacionalitat;sexe;concepte;estat;valor
2021;Catalunya;11 anys;estrangera;dones;població;;5362
2021;Catalunya;11 anys;estrangera;total;població;;11247
2021;Catalunya;11 anys;total;homes;població;;44405
2021;Catalunya;11 anys;total;dones;població;;40998
2021;Catalunya;11 anys;total;total;població;;85403
2021;Catalunya;12 anys;espanyola;homes;població;;40212
2021;Catalunya;12 anys;espanyola;dones;població;;37955
2021;Catalunya;12 anys;espanyola;total;població;;78167
2021;Catalunya;12 anys;estrangera;homes;població;;5686
2021;Catalunya;12 anys;estrangera;dones;població;;5155
2021;Catalunya;12 anys;estrangera;total;població;;10841
2021;Catalunya;12 anys;total;homes;població;;45898
2021;Catalunya;12 anys;total;dones;població;;43110
2021;Catalunya;12 anys;total;total;població;;89008
2021;Catalunya;13 anys;espanyola;homes;població;;38925
2021;Catalunya;13 anys;espanyola;dones;població;;36618
2021;Catalunya;13 anys;espanyola;total;població;;75543
2021;Catalunya;13 anys;estrangera;homes;població;;4985
2021;Catalunya;13 anys;estrangera;dones;població;;4586
2021;Catalunya;13 anys;estrangera;total;població;;9571
2021;Catalunya;13 anys;total;homes;població;;43910
2021;Catalunya;13 anys;total;dones;població;;41204
2021;Catalunya;13 anys;total;total;població;;85114
2021;Catalunya;14 anys;espanyola;homes;població;;38860
2021;Catalunya;14 anys;espanyola;dones;població;;36775
2021;Catalunya;14 anys;espanyola;total;població;;75635
2021;Catalunya;14 anys;estrangera;homes;població;;4950
2021;Catalunya;14 anys;estrangera;dones;població;;4540
2021;Catalunya;14 anys;estrangera;total;població;;9490
2021;Catalunya;14 anys;total;homes;població;;43810
2021;Catalunya;14 anys;total;dones;població;;41315
2021;Catalunya;14 anys;total;total;població;;85125
2021;Catalunya;15 anys;espanyola;homes;població;;38263
2021;Catalunya;15 anys;espanyola;dones;població;;36135
2021;Catalunya;15 anys;espanyola;total;població;;74398
2021;Catalunya;15 anys;estrangera;homes;població;;5035
2021;Catalunya;15 anys;estrangera;dones;població;;4546
2021;Catalunya;15 anys;estrangera;total;població;;9581
2021;Catalunya;15 anys;total;homes;població;;43298
2021;Catalunya;15 anys;total;dones;població;;40681
2021;Catalunya;15 anys;total;total;població;;83979
2021;Catalunya;16 anys;espanyola;homes;població;;37499
2021;Catalunya;16 anys;espanyola;dones;població;;35828
