any;Catalunya;edat any a any;nacionalitat;sexe;concepte;estat;valor
2021;Catalunya;57 anys;total;homes;població;;50963
2021;Catalunya;57 anys;total;dones;població;;52820
2021;Catalunya;57 anys;total;total;població;;103783
2021;Catalunya;58 anys;espanyola;homes;població;;44667
2021;Catalunya;58 anys;espanyola;dones;població;;46708
2021;Catalunya;58 anys;espanyola;total;població;;91375
2021;Catalunya;58 anys;estrangera;homes;població;;4896
2021;Catalunya;58 anys;estrangera;dones;població;;4654
2021;Catalunya;58 anys;estrangera;total;població;;9550
2021;Catalunya;58 anys;total;homes;població;;49563
2021;Catalunya;58 anys;total;dones;població;;51362
2021;Catalunya;58 anys;total;total;població;;100925
2021;Catalunya;59 anys;espanyola;homes;població;;43145
2021;Catalunya;59 anys;espanyola;dones;població;;46099
2021;Catalunya;59 anys;espanyola;total;població;;89244
2021;Catalunya;59 anys;estrangera;homes;població;;4212
2021;Catalunya;59 anys;estrangera;dones;població;;4132
2021;Catalunya;59 anys;estrangera;total;població;;8344
2021;Catalunya;59 anys;total;homes;població;;47357
2021;Catalunya;59 anys;total;dones;població;;50231
2021;Catalunya;59 anys;total;total;població;;97588
2021;Catalunya;60 anys;espanyola;homes;població;;42957
2021;Catalunya;60 anys;espanyola;dones;població;;46165
2021;Catalunya;60 anys;espanyola;total;població;;89122
2021;Catalunya;60 anys;estrangera;homes;població;;4265
2021;Catalunya;60 anys;estrangera;dones;població;;4103
2021;Catalunya;60 anys;estrangera;total;població;;8368
2021;Catalunya;60 anys;total;homes;població;;47222
2021;Catalunya;60 anys;total;dones;població;;50268
2021;Catalunya;60 anys;total;total;població;;97490
2021;Catalunya;61 anys;espanyola;homes;població;;42078
2021;Catalunya;61 anys;espanyola;dones;població;;45802
2021;Catalunya;61 anys;espanyola;total;població;;87880
2021;Catalunya;61 anys;estrangera;homes;població;;3580
2021;Catalunya;61 anys;estrangera;dones;població;;3654
2021;Catalunya;61 anys;estrangera;total;població;;7234
2021;Catalunya;61 anys;total;homes;població;;45658
2021;Catalunya;61 anys;total;dones;població;;49456
2021;Catalunya;61 anys;total;total;població;;95114
2021;Catalunya;62 anys;espanyola;homes;població;;41523
2021;Catalunya;62 anys;espanyola;dones;població;;45031
2021;Catalunya;62 anys;espanyola;total;població;;86554
2021;Catalunya;62 anys;estrangera;homes;població;;3436
2021;Catalunya;62 anys;estrangera;dones;població;;3455
2021;Catalunya;62 anys;estrangera;total;població;;6891
2021;Catalunya;62 anys;total;homes;població;;44959
2021;Catalunya;62 anys;total;dones;població;;48486
2021;Catalunya;62 anys;total;total;població;;93445
2021;Catalunya;63 anys;espanyola;homes;població;;40348
2021;Catalunya;63 anys;espanyola;dones;població;;44112
2021;Catalunya;63 anys;espanyola;total;població;;84460
2021;Catalunya;63 anys;estrangera;homes;població;;2982
2021;Catalunya;63 anys;estrangera;dones;població;;3158
2021;Catalunya;63 anys;estrangera;total;població;;6140
2021;Catalunya;63 anys;total;homes;població;;43330
2021;Catalunya;63 anys;total;dones;població;;47270
2021;Catalunya;63 anys;total;total;població;;90600
2021;Catalunya;64 anys;espanyola;homes;població;;37674
2021;Catalunya;64 anys;espanyola;dones;població;;41393
2021;Catalunya;64 anys;espanyola;total;població;;79067
2021;Catalunya;64 anys;estrangera;homes;població;;2833
2021;Catalunya;64 anys;estrangera;dones;població;;2998
2021;Catalunya;64 anys;estrangera;total;població;;5831
2021;Catalunya;64 anys;total;homes;població;;40507
2021;Catalunya;64 anys;total;dones;població;;44391
2021;Catalunya;64 anys;total;total;població;;84898
2021;Catalunya;65 anys;espanyola;homes;població;;36544
2021;Catalunya;65 anys;espanyola;dones;població;;40567
2021;Catalunya;65 anys;espanyola;total;població;;77111
2021;Catalunya;65 anys;estrangera;homes;població;;2567
2021;Catalunya;65 anys;estrangera;dones;població;;2721
2021;Catalunya;65 anys;estrangera;total;població;;5288
2021;Catalunya;65 anys;total;homes;població;;39111
2021;Catalunya;65 anys;total;dones;població;;43288
2021;Catalunya;65 anys;total;total;població;;82399
2021;Catalunya;66 anys;espanyola;homes;població;;35163
2021;Catalunya;66 anys;espanyola;dones;població;;39516
2021;Catalunya;66 anys;espanyola;total;població;;74679
2021;Catalunya;66 anys;estrangera;homes;població;;2311
2021;Catalunya;66 anys;estrangera;dones;població;;2487
2021;Catalunya;66 anys;estrangera;total;població;;4798
2021;Catalunya;66 anys;total;homes;població;;37474
2021;Catalunya;66 anys;total;dones;població;;42003
2021;Catalunya;66 anys;total;total;població;;79477
2021;Catalunya;67 anys;espanyola;homes;població;;35163
2021;Catalunya;67 anys;espanyola;dones;població;;39388
2021;Catalunya;67 anys;espanyola;total;població;;74551
2021;Catalunya;67 anys;estrangera;homes;població;;1952
2021;Catalunya;67 anys;estrangera;dones;població;;2290
2021;Catalunya;67 anys;estrangera;total;població;;4242
2021;Catalunya;67 anys;total;homes;població;;37115
2021;Catalunya;67 anys;total;dones;població;;41678
2021;Catalunya;67 anys;total;total;població;;78793
2021;Catalunya;68 anys;espanyola;homes;població;;34661
2021;Catalunya;68 anys;espanyola;dones;població;;39319
2021;Catalunya;68 anys;espanyola;total;població;;73980
2021;Catalunya;68 anys;estrangera;homes;població;;1913
2021;Catalunya;68 anys;estrangera;dones;població;;2168
2021;Catalunya;68 anys;estrangera;total;població;;4081
2021;Catalunya;68 anys;total;homes;població;;36574
2021;Catalunya;68 anys;total;dones;població;;41487
2021;Catalunya;68 anys;total;total;població;;78061
2021;Catalunya;69 anys;espanyola;homes;població;;32244
2021;Catalunya;69 anys;espanyola;dones;població;;37167
2021;Catalunya;69 anys;espanyola;total;població;;69411
2021;Catalunya;69 anys;estrangera;homes;població;;1624
2021;Catalunya;69 anys;estrangera;dones;població;;1886
2021;Catalunya;69 anys;estrangera;total;població;;3510
2021;Catalunya;69 anys;total;homes;població;;33868
2021;Catalunya;69 anys;total;dones;població;;39053
2021;Catalunya;69 anys;total;total;població;;72921
2021;Catalunya;70 anys;espanyola;homes;població;;30818
2021;Catalunya;70 anys;espanyola;dones;població;;36005
2021;Catalunya;70 anys;espanyola;total;població;;66823
2021;Catalunya;70 anys;estrangera;homes;població;;1607
2021;Catalunya;70 anys;estrangera;dones;població;;1888
2021;Catalunya;70 anys;estrangera;total;població;;3495
2021;Catalunya;70 anys;total;homes;població;;32425
2021;Catalunya;70 anys;total;dones;població;;37893
2021;Catalunya;70 anys;total;total;població;;70318
2021;Catalunya;71 anys;espanyola;homes;població;;32351
2021;Catalunya;71 anys;espanyola;dones;població;;37759
2021;Catalunya;71 anys;espanyola;total;població;;70110
2021;Catalunya;71 anys;estrangera;homes;població;;1350
2021;Catalunya;71 anys;estrangera;dones;població;;1747
2021;Catalunya;71 anys;estrangera;total;població;;3097
2021;Catalunya;71 anys;total;homes;població;;33701
2021;Catalunya;71 anys;total;dones;població;;39506
2021;Catalunya;71 anys;total;total;població;;73207
2021;Catalunya;72 anys;espanyola;homes;població;;33426
2021;Catalunya;72 anys;espanyola;dones;població;;40138
2021;Catalunya;72 anys;espanyola;total;població;;73564
2021;Catalunya;72 anys;estrangera;homes;població;;1302
2021;Catalunya;72 anys;estrangera;dones;població;;1577
2021;Catalunya;72 anys;estrangera;total;població;;2879
2021;Catalunya;72 anys;total;homes;població;;34728
2021;Catalunya;72 anys;total;dones;població;;41715
2021;Catalunya;72 anys;total;total;població;;76443
2021;Catalunya;73 anys;espanyola;homes;població;;30361
2021;Catalunya;73 anys;espanyola;dones;població;;36176
2021;Catalunya;73 anys;espanyola;total;població;;66537
2021;Catalunya;73 anys;estrangera;homes;població;;1078
2021;Catalunya;73 anys;estrangera;dones;població;;1446
2021;Catalunya;73 anys;estrangera;total;població;;2524
2021;Catalunya;73 anys;total;homes;població;;31439
2021;Catalunya;73 anys;total;dones;població;;37622
2021;Catalunya;73 anys;total;total;població;;69061
2021;Catalunya;74 anys;espanyola;homes;població;;27937
2021;Catalunya;74 anys;espanyola;dones;població;;33863
2021;Catalunya;74 anys;espanyola;total;població;;61800
2021;Catalunya;74 anys;estrangera;homes;població;;975
2021;Catalunya;74 anys;estrangera;dones;població;;1280
2021;Catalunya;74 anys;estrangera;total;població;;2255
2021;Catalunya;74 anys;total;homes;població;;28912
2021;Catalunya;74 anys;total;dones;població;;35143
2021;Catalunya;74 anys;total;total;població;;64055
2021;Catalunya;75 anys;espanyola;homes;població;;28917
2021;Catalunya;75 anys;espanyola;dones;població;;35600
2021;Catalunya;75 anys;espanyola;total;població;;64517
2021;Catalunya;75 anys;estrangera;homes;població;;817
2021;Catalunya;75 anys;estrangera;dones;població;;1135
2021;Catalunya;75 anys;estrangera;total;població;;1952
2021;Catalunya;75 anys;total;homes;població;;29734
2021;Catalunya;75 anys;total;dones;població;;36735
2021;Catalunya;75 anys;total;total;població;;66469
2021;Catalunya;76 anys;espanyola;homes;població;;26276
2021;Catalunya;76 anys;espanyola;dones;població;;33218
2021;Catalunya;76 anys;espanyola;total;població;;59494
2021;Catalunya;76 anys;estrangera;homes;població;;804
2021;Catalunya;76 anys;estrangera;dones;població;;1005
2021;Catalunya;76 anys;estrangera;total;població;;1809
2021;Catalunya;76 anys;total;homes;població;;27080
2021;Catalunya;76 anys;total;dones;població;;34223
2021;Catalunya;76 anys;total;total;població;;61303
2021;Catalunya;77 anys;espanyola;homes;població;;24987
2021;Catalunya;77 anys;espanyola;dones;població;;31942
2021;Catalunya;77 anys;espanyola;total;població;;56929
2021;Catalunya;77 anys;estrangera;homes;població;;768
2021;Catalunya;77 anys;estrangera;dones;població;;882
2021;Catalunya;77 anys;estrangera;total;població;;1650
2021;Catalunya;77 anys;total;homes;població;;25755
2021;Catalunya;77 anys;total;dones;població;;32824
2021;Catalunya;77 anys;total;total;població;;58579
2021;Catalunya;78 anys;espanyola;homes;població;;20824
2021;Catalunya;78 anys;espanyola;dones;població;;26624
2021;Catalunya;78 anys;espanyola;total;població;;47448
2021;Catalunya;78 anys;estrangera;homes;població;;655
2021;Catalunya;78 anys;estrangera;dones;població;;873
2021;Catalunya;78 anys;estrangera;total;població;;1528
2021;Catalunya;78 anys;total;homes;població;;21479
2021;Catalunya;78 anys;total;dones;població;;27497
2021;Catalunya;78 anys;total;total;població;;48976
2021;Catalunya;79 anys;espanyola;homes;població;;18814
2021;Catalunya;79 anys;espanyola;dones;població;;24982
2021;Catalunya;79 anys;espanyola;total;població;;43796
2021;Catalunya;79 anys;estrangera;homes;població;;583
2021;Catalunya;79 anys;estrangera;dones;població;;727
2021;Catalunya;79 anys;estrangera;total;població;;1310
2021;Catalunya;79 anys;total;homes;població;;19397
2021;Catalunya;79 anys;total;dones;població;;25709
2021;Catalunya;79 anys;total;total;població;;45106
2021;Catalunya;80 anys;espanyola;homes;població;;22978
2021;Catalunya;80 anys;espanyola;dones;població;;30265
2021;Catalunya;80 anys;espanyola;total;població;;53243
2021;Catalunya;80 anys;estrangera;homes;població;;582
2021;Catalunya;80 anys;estrangera;dones;població;;794
2021;Catalunya;80 anys;estrangera;total;població;;1376
2021;Catalunya;80 anys;total;homes;població;;23560
2021;Catalunya;80 anys;total;dones;població;;31059
2021;Catalunya;80 anys;total;total;població;;54619
2021;Catalunya;81 anys;espanyola;homes;població;;12050
2021;Catalunya;81 anys;espanyola;dones;població;;16749
2021;Catalunya;81 anys;espanyola;total;població;;28799
2021;Catalunya;81 anys;estrangera;homes;població;;486
2021;Catalunya;81 anys;estrangera;dones;població;;615
2021;Catalunya;81 anys;estrangera;total;població;;1101
2021;Catalunya;81 anys;total;homes;població;;12536
2021;Catalunya;81 anys;total;dones;població;;17364
2021;Catalunya;81 anys;total;total;població;;29900
2021;Catalunya;82 anys;espanyola;homes;població;;14022
2021;Catalunya;82 anys;espanyola;dones;població;;20192
2021;Catalunya;82 anys;espanyola;total;població;;34214
2021;Catalunya;82 anys;estrangera;homes;població;;400
2021;Catalunya;82 anys;estrangera;dones;població;;582
2021;Catalunya;82 anys;estrangera;total;població;;982
2021;Catalunya;82 anys;total;homes;població;;14422
2021;Catalunya;82 anys;total;dones;població;;20774
2021;Catalunya;82 anys;total;total;població;;35196
2021;Catalunya;83 anys;espanyola;homes;població;;16221
2021;Catalunya;83 anys;espanyola;dones;població;;23985
2021;Catalunya;83 anys;espanyola;total;població;;40206
2021;Catalunya;83 anys;estrangera;homes;població;;303
2021;Catalunya;83 anys;estrangera;dones;població;;518
2021;Catalunya;83 anys;estrangera;total;població;;821
2021;Catalunya;83 anys;total;homes;població;;16524
2021;Catalunya;83 anys;total;dones;població;;24503
2021;Catalunya;83 anys;total;total;població;;41027
2021;Catalunya;84 anys;espanyola;homes;població;;15531
2021;Catalunya;84 anys;espanyola;dones;població;;24828
2021;Catalunya;84 anys;espanyola;total;població;;40359
2021;Catalunya;84 anys;estrangera;homes;població;;332
2021;Catalunya;84 anys;estrangera;dones;població;;487
2021;Catalunya;84 anys;estrangera;total;població;;819
2021;Catalunya;84 anys;total;homes;població;;15863
2021;Catalunya;84 anys;total;dones;població;;25315
2021;Catalunya;84 anys;total;total;població;;41178
2021;Catalunya;85 anys;espanyola;homes;població;;13915
2021;Catalunya;85 anys;espanyola;dones;població;;22604
2021;Catalunya;85 anys;espanyola;total;població;;36519
2021;Catalunya;85 anys;estrangera;homes;població;;262
2021;Catalunya;85 anys;estrangera;dones;població;;367
2021;Catalunya;85 anys;estrangera;total;població;;629
2021;Catalunya;85 anys;total;homes;població;;14177
2021;Catalunya;85 anys;total;dones;població;;22971
2021;Catalunya;85 anys;total;total;població;;37148
2021;Catalunya;86 anys;espanyola;homes;població;;12473
2021;Catalunya;86 anys;espanyola;dones;població;;21123
2021;Catalunya;86 anys;espanyola;total;població;;33596
2021;Catalunya;86 anys;estrangera;homes;població;;195
2021;Catalunya;86 anys;estrangera;dones;població;;278
2021;Catalunya;86 anys;estrangera;total;població;;473
2021;Catalunya;86 anys;total;homes;població;;12668
2021;Catalunya;86 anys;total;dones;població;;21401
2021;Catalunya;86 anys;total;total;població;;34069
2021;Catalunya;87 anys;espanyola;homes;població;;11251
2021;Catalunya;87 anys;espanyola;dones;població;;20171
2021;Catalunya;87 anys;espanyola;total;població;;31422
2021;Catalunya;87 anys;estrangera;homes;població;;137
2021;Catalunya;87 anys;estrangera;dones;població;;223
2021;Catalunya;87 anys;estrangera;total;població;;360
2021;Catalunya;87 anys;total;homes;població;;11388
2021;Catalunya;87 anys;total;dones;població;;20394
2021;Catalunya;87 anys;total;total;població;;31782
2021;Catalunya;88 anys;espanyola;homes;població;;9874
2021;Catalunya;88 anys;espanyola;dones;població;;18354
2021;Catalunya;88 anys;espanyola;total;població;;28228
2021;Catalunya;88 anys;estrangera;homes;població;;130
2021;Catalunya;88 anys;estrangera;dones;població;;236
2021;Catalunya;88 anys;estrangera;total;població;;366
2021;Catalunya;88 anys;total;homes;població;;10004
2021;Catalunya;88 anys;total;dones;població;;18590
2021;Catalunya;88 anys;total;total;població;;28594
2021;Catalunya;89 anys;espanyola;homes;població;;8017
2021;Catalunya;89 anys;espanyola;dones;població;;16120
2021;Catalunya;89 anys;espanyola;total;població;;24137
2021;Catalunya;89 anys;estrangera;homes;població;;96
2021;Catalunya;89 anys;estrangera;dones;població;;190
2021;Catalunya;89 anys;estrangera;total;població;;286
2021;Catalunya;89 anys;total;homes;població;;8113
2021;Catalunya;89 anys;total;dones;població;;16310
2021;Catalunya;89 anys;total;total;població;;24423
2021;Catalunya;90 anys;espanyola;homes;població;;6690
2021;Catalunya;90 anys;espanyola;dones;població;;14442
2021;Catalunya;90 anys;espanyola;total;població;;21132
2021;Catalunya;90 anys;estrangera;homes;població;;99
2021;Catalunya;90 anys;estrangera;dones;població;;180
2021;Catalunya;90 anys;estrangera;total;població;;279
2021;Catalunya;90 anys;total;homes;població;;6789
2021;Catalunya;90 anys;total;dones;població;;14622
2021;Catalunya;90 anys;total;total;població;;21411
2021;Catalunya;91 anys;espanyola;homes;població;;5215
2021;Catalunya;91 anys;espanyola;dones;població;;11525
2021;Catalunya;91 anys;espanyola;total;població;;16740
2021;Catalunya;91 anys;estrangera;homes;població;;82
2021;Catalunya;91 anys;estrangera;dones;població;;124
2021;Catalunya;91 anys;estrangera;total;població;;206
2021;Catalunya;91 anys;total;homes;població;;5297
2021;Catalunya;91 anys;total;dones;població;;11649
2021;Catalunya;91 anys;total;total;població;;16946
2021;Catalunya;92 anys;espanyola;homes;població;;4100
2021;Catalunya;92 anys;espanyola;dones;població;;9709
2021;Catalunya;92 anys;espanyola;total;població;;13809
2021;Catalunya;92 anys;estrangera;homes;població;;46
2021;Catalunya;92 anys;estrangera;dones;població;;86
2021;Catalunya;92 anys;estrangera;total;població;;132
2021;Catalunya;92 anys;total;homes;població;;4146
2021;Catalunya;92 anys;total;dones;població;;9795
2021;Catalunya;92 anys;total;total;població;;13941
2021;Catalunya;93 anys;espanyola;homes;població;;2990
2021;Catalunya;93 anys;espanyola;dones;població;;7762
2021;Catalunya;93 anys;espanyola;total;població;;10752
2021;Catalunya;93 anys;estrangera;homes;població;;47
2021;Catalunya;93 anys;estrangera;dones;població;;62
2021;Catalunya;93 anys;estrangera;total;població;;109
2021;Catalunya;93 anys;total;homes;població;;3037
2021;Catalunya;93 anys;total;dones;població;;7824
2021;Catalunya;93 anys;total;total;població;;10861
2021;Catalunya;94 anys;espanyola;homes;població;;2299
2021;Catalunya;94 anys;espanyola;dones;població;;6446
2021;Catalunya;94 anys;espanyola;total;població;;8745
2021;Catalunya;94 anys;estrangera;homes;població;;24
2021;Catalunya;94 anys;estrangera;dones;població;;69
2021;Catalunya;94 anys;estrangera;total;població;;93
2021;Catalunya;94 anys;total;homes;població;;2323
2021;Catalunya;94 anys;total;dones;població;;6515
2021;Catalunya;94 anys;total;total;població;;8838
2021;Catalunya;95 anys;espanyola;homes;població;;1578
2021;Catalunya;95 anys;espanyola;dones;població;;4767
2021;Catalunya;95 anys;espanyola;total;població;;6345
2021;Catalunya;95 anys;estrangera;homes;població;;23
2021;Catalunya;95 anys;estrangera;dones;població;;56
2021;Catalunya;95 anys;estrangera;total;població;;79
2021;Catalunya;95 anys;total;homes;població;;1601
2021;Catalunya;95 anys;total;dones;població;;4823
2021;Catalunya;95 anys;total;total;població;;6424
2021;Catalunya;96 anys;espanyola;homes;població;;1129
2021;Catalunya;96 anys;espanyola;dones;població;;3608
2021;Catalunya;96 anys;espanyola;total;població;;4737
2021;Catalunya;96 anys;estrangera;homes;població;;13
2021;Catalunya;96 anys;estrangera;dones;població;;39
2021;Catalunya;96 anys;estrangera;total;població;;52
2021;Catalunya;96 anys;total;homes;població;;1142
2021;Catalunya;96 anys;total;dones;població;;3647
2021;Catalunya;96 anys;total;total;població;;4789
2021;Catalunya;97 anys;espanyola;homes;població;;706
2021;Catalunya;97 anys;espanyola;dones;població;;2591
2021;Catalunya;97 anys;espanyola;total;població;;3297
2021;Catalunya;97 anys;estrangera;homes;població;;6
2021;Catalunya;97 anys;estrangera;dones;població;;17
2021;Catalunya;97 anys;estrangera;total;població;;23
2021;Catalunya;97 anys;total;homes;població;;712
2021;Catalunya;97 anys;total;dones;població;;2608
2021;Catalunya;97 anys;total;total;població;;3320
2021;Catalunya;98 anys;espanyola;homes;població;;513
2021;Catalunya;98 anys;espanyola;dones;població;;1766
2021;Catalunya;98 anys;espanyola;total;població;;2279
2021;Catalunya;98 anys;estrangera;homes;població;;10
2021;Catalunya;98 anys;estrangera;dones;població;;17
2021;Catalunya;98 anys;estrangera;total;població;;27
2021;Catalunya;98 anys;total;homes;població;;523
2021;Catalunya;98 anys;total;dones;població;;1783
2021;Catalunya;98 anys;total;total;població;;2306
2021;Catalunya;99 anys;espanyola;homes;població;;300
2021;Catalunya;99 anys;espanyola;dones;població;;1186
2021;Catalunya;99 anys;espanyola;total;població;;1486
2021;Catalunya;99 anys;estrangera;homes;població;;2
2021;Catalunya;99 anys;estrangera;dones;població;;7
2021;Catalunya;99 anys;estrangera;total;població;;9
2021;Catalunya;99 anys;total;homes;població;;302
2021;Catalunya;99 anys;total;dones;població;;1193
2021;Catalunya;99 anys;total;total;població;;1495
2021;Catalunya;100 anys o més;espanyola;homes;població;;331
2021;Catalunya;100 anys o més;espanyola;dones;població;;1793
2021;Catalunya;100 anys o més;espanyola;total;població;;2124
2021;Catalunya;100 anys o més;estrangera;homes;població;;10
2021;Catalunya;100 anys o més;estrangera;dones;població;;22
2021;Catalunya;100 anys o més;estrangera;total;població;;32
2021;Catalunya;100 anys o més;total;homes;població;;341
2021;Catalunya;100 anys o més;total;dones;població;;1815
2021;Catalunya;100 anys o més;total;total;població;;2156
2021;Catalunya;total;espanyola;homes;població;;3177274
2021;Catalunya;total;espanyola;dones;població;;3342318
2021;Catalunya;total;espanyola;total;població;;6519592
2021;Catalunya;total;estrangera;homes;població;;637549
2021;Catalunya;total;estrangera;dones;població;;592755
2021;Catalunya;total;estrangera;total;població;;1230304
2021;Catalunya;total;total;homes;població;;3814823
2021;Catalunya;total;total;dones;població;;3935073
2021;Catalunya;total;total;total;població;;7749896
2022;Catalunya;0 anys;espanyola;homes;població;;23342
2022;Catalunya;0 anys;espanyola;dones;població;;22142
2022;Catalunya;0 anys;espanyola;total;població;;45484
2022;Catalunya;0 anys;estrangera;homes;població;;6413
2022;Catalunya;0 anys;estrangera;dones;població;;6003
2022;Catalunya;0 anys;estrangera;total;població;;12416
2022;Catalunya;0 anys;total;homes;població;;29755
2022;Catalunya;0 anys;total;dones;població;;28145
2022;Catalunya;0 anys;total;total;població;;57900
2022;Catalunya;1 any;espanyola;homes;població;;23313
2022;Catalunya;1 any;espanyola;dones;població;;22404
2022;Catalunya;1 any;espanyola;total;població;;45717
2022;Catalunya;1 any;estrangera;homes;població;;6873
2022;Catalunya;1 any;estrangera;dones;població;;6583
2022;Catalunya;1 any;estrangera;total;població;;13456
2022;Catalunya;1 any;total;homes;població;;30186
2022;Catalunya;1 any;total;dones;població;;28987
2022;Catalunya;1 any;total;total;població;;59173
2022;Catalunya;2 anys;espanyola;homes;població;;24671
2022;Catalunya;2 anys;espanyola;dones;població;;23624
2022;Catalunya;2 anys;espanyola;total;població;;48295
2022;Catalunya;2 anys;estrangera;homes;població;;6762
2022;Catalunya;2 anys;estrangera;dones;població;;6416
2022;Catalunya;2 anys;estrangera;total;població;;13178
2022;Catalunya;2 anys;total;homes;població;;31433
2022;Catalunya;2 anys;total;dones;població;;30040
2022;Catalunya;2 anys;total;total;població;;61473
2022;Catalunya;3 anys;espanyola;homes;població;;26554
2022;Catalunya;3 anys;espanyola;dones;població;;25349
2022;Catalunya;3 anys;espanyola;total;població;;51903
2022;Catalunya;3 anys;estrangera;homes;població;;6793
2022;Catalunya;3 anys;estrangera;dones;població;;6500
2022;Catalunya;3 anys;estrangera;total;població;;13293
2022;Catalunya;3 anys;total;homes;població;;33347
2022;Catalunya;3 anys;total;dones;població;;31849
2022;Catalunya;3 anys;total;total;població;;65196
2022;Catalunya;4 anys;espanyola;homes;població;;29137
2022;Catalunya;4 anys;espanyola;dones;població;;27496
2022;Catalunya;4 anys;espanyola;total;població;;56633
2022;Catalunya;4 anys;estrangera;homes;població;;6691
2022;Catalunya;4 anys;estrangera;dones;població;;6274
2022;Catalunya;4 anys;estrangera;total;població;;12965
2022;Catalunya;4 anys;total;homes;població;;35828
2022;Catalunya;4 anys;total;dones;població;;33770
2022;Catalunya;4 anys;total;total;població;;69598
2022;Catalunya;5 anys;espanyola;homes;població;;30747
2022;Catalunya;5 anys;espanyola;dones;població;;29093
2022;Catalunya;5 anys;espanyola;total;població;;59840
2022;Catalunya;5 anys;estrangera;homes;població;;6537
2022;Catalunya;5 anys;estrangera;dones;població;;6321
2022;Catalunya;5 anys;estrangera;total;població;;12858
2022;Catalunya;5 anys;total;homes;població;;37284
2022;Catalunya;5 anys;total;dones;població;;35414
2022;Catalunya;5 anys;total;total;població;;72698
2022;Catalunya;6 anys;espanyola;homes;població;;31971
2022;Catalunya;6 anys;espanyola;dones;població;;30181
2022;Catalunya;6 anys;espanyola;total;població;;62152
2022;Catalunya;6 anys;estrangera;homes;població;;6659
2022;Catalunya;6 anys;estrangera;dones;població;;6246
2022;Catalunya;6 anys;estrangera;total;població;;12905
2022;Catalunya;6 anys;total;homes;població;;38630
2022;Catalunya;6 anys;total;dones;població;;36427
2022;Catalunya;6 anys;total;total;població;;75057
2022;Catalunya;7 anys;espanyola;homes;població;;32749
2022;Catalunya;7 anys;espanyola;dones;població;;30414
2022;Catalunya;7 anys;espanyola;total;població;;63163
2022;Catalunya;7 anys;estrangera;homes;població;;6758
2022;Catalunya;7 anys;estrangera;dones;població;;6277
2022;Catalunya;7 anys;estrangera;total;població;;13035
2022;Catalunya;7 anys;total;homes;població;;39507
2022;Catalunya;7 anys;total;dones;població;;36691
2022;Catalunya;7 anys;total;total;població;;76198
2022;Catalunya;8 anys;espanyola;homes;població;;32584
2022;Catalunya;8 anys;espanyola;dones;població;;30874
2022;Catalunya;8 anys;espanyola;total;població;;63458
2022;Catalunya;8 anys;estrangera;homes;població;;6310
2022;Catalunya;8 anys;estrangera;dones;població;;5893
2022;Catalunya;8 anys;estrangera;total;població;;12203
2022;Catalunya;8 anys;total;homes;població;;38894
2022;Catalunya;8 anys;total;dones;població;;36767
2022;Catalunya;8 anys;total;total;població;;75661
2022;Catalunya;9 anys;espanyola;homes;població;;35220
2022;Catalunya;9 anys;espanyola;dones;població;;33041
2022;Catalunya;9 anys;espanyola;total;població;;68261
2022;Catalunya;9 anys;estrangera;homes;població;;6316
2022;Catalunya;9 anys;estrangera;dones;població;;5857
2022;Catalunya;9 anys;estrangera;total;població;;12173
2022;Catalunya;9 anys;total;homes;població;;41536
2022;Catalunya;9 anys;total;dones;població;;38898
2022;Catalunya;9 anys;total;total;població;;80434
2022;Catalunya;10 anys;espanyola;homes;població;;36578
2022;Catalunya;10 anys;espanyola;dones;població;;34631
2022;Catalunya;10 anys;espanyola;total;població;;71209
2022;Catalunya;10 anys;estrangera;homes;població;;5985
2022;Catalunya;10 anys;estrangera;dones;població;;5505
2022;Catalunya;10 anys;estrangera;total;població;;11490
2022;Catalunya;10 anys;total;homes;població;;42563
2022;Catalunya;10 anys;total;dones;població;;40136
2022;Catalunya;10 anys;total;total;població;;82699
2022;Catalunya;11 anys;espanyola;homes;població;;37962
2022;Catalunya;11 anys;espanyola;dones;població;;35448
2022;Catalunya;11 anys;espanyola;total;població;;73410
2022;Catalunya;11 anys;estrangera;homes;població;;6071
2022;Catalunya;11 anys;estrangera;dones;població;;5690
2022;Catalunya;11 anys;estrangera;total;població;;11761
2022;Catalunya;11 anys;total;homes;població;;44033
2022;Catalunya;11 anys;total;dones;població;;41138
2022;Catalunya;11 anys;total;total;població;;85171
2022;Catalunya;12 anys;espanyola;homes;població;;38724
2022;Catalunya;12 anys;espanyola;dones;població;;35858
2022;Catalunya;12 anys;espanyola;total;població;;74582
2022;Catalunya;12 anys;estrangera;homes;població;;5903
2022;Catalunya;12 anys;estrangera;dones;població;;5333
2022;Catalunya;12 anys;estrangera;total;població;;11236
2022;Catalunya;12 anys;total;homes;població;;44627
2022;Catalunya;12 anys;total;dones;població;;41191
2022;Catalunya;12 anys;total;total;població;;85818
2022;Catalunya;13 anys;espanyola;homes;població;;40405
2022;Catalunya;13 anys;espanyola;dones;població;;38122
2022;Catalunya;13 anys;espanyola;total;població;;78527
2022;Catalunya;13 anys;estrangera;homes;població;;5675
2022;Catalunya;13 anys;estrangera;dones;població;;5208
2022;Catalunya;13 anys;estrangera;total;població;;10883
2022;Catalunya;13 anys;total;homes;població;;46080
2022;Catalunya;13 anys;total;dones;població;;43330
2022;Catalunya;13 anys;total;total;població;;89410
2022;Catalunya;14 anys;espanyola;homes;població;;39063
2022;Catalunya;14 anys;espanyola;dones;població;;36767
