Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,112,8,117,ABP Baix Empordà - La Bisbal,setembre,47,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22185,22,0,44,ABP Baix Empordà - Sant Feliu,abril,13,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,726,30,52,ABP Baix Empordà - Sant Feliu,abril,101,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,701,53,52,ABP Baix Empordà - Sant Feliu,abril,95,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,263,4,52,ABP Baix Empordà - Sant Feliu,abril,8,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,59,18,52,ABP Baix Empordà - Sant Feliu,abril,23,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24199,50,2,48,ABP Baix Empordà - Sant Feliu,abril,24,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,54,3,104,ABP Baix Empordà - Sant Feliu,agost,18,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2632,52,104,ABP Baix Empordà - Sant Feliu,agost,193,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,843,52,104,ABP Baix Empordà - Sant Feliu,agost,91,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,616,9,104,ABP Baix Empordà - Sant Feliu,agost,22,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,198,40,104,ABP Baix Empordà - Sant Feliu,agost,41,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,85,7,104,ABP Baix Empordà - Sant Feliu,agost,32,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22188,26,0,132,ABP Baix Empordà - Sant Feliu,desembre,10,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,595,24,156,ABP Baix Empordà - Sant Feliu,desembre,97,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,717,57,156,ABP Baix Empordà - Sant Feliu,desembre,83,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,203,6,156,ABP Baix Empordà - Sant Feliu,desembre,10,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24204,46,16,144,ABP Baix Empordà - Sant Feliu,desembre,17,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,51,6,156,ABP Baix Empordà - Sant Feliu,desembre,23,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24218,30,1,24,ABP Baix Empordà - Sant Feliu,febrer,13,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,619,11,28,ABP Baix Empordà - Sant Feliu,febrer,104,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,792,61,28,ABP Baix Empordà - Sant Feliu,febrer,132,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,218,6,28,ABP Baix Empordà - Sant Feliu,febrer,25,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,69,18,28,ABP Baix Empordà - Sant Feliu,febrer,24,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26223,62,1,26,ABP Baix Empordà - Sant Feliu,febrer,25,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24222,36,3,12,ABP Baix Empordà - Sant Feliu,gener,21,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,675,20,14,ABP Baix Empordà - Sant Feliu,gener,86,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,932,71,14,ABP Baix Empordà - Sant Feliu,gener,105,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,286,12,14,ABP Baix Empordà - Sant Feliu,gener,20,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,60,8,14,ABP Baix Empordà - Sant Feliu,gener,16,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,53,3,14,ABP Baix Empordà - Sant Feliu,gener,25,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,38,0,91,ABP Baix Empordà - Sant Feliu,juliol,15,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2189,66,91,ABP Baix Empordà - Sant Feliu,juliol,181,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,918,54,91,ABP Baix Empordà - Sant Feliu,juliol,92,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,499,24,91,ABP Baix Empordà - Sant Feliu,juliol,18,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,150,46,91,ABP Baix Empordà - Sant Feliu,juliol,34,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,87,5,91,ABP Baix Empordà - Sant Feliu,juliol,30,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,33,0,78,ABP Baix Empordà - Sant Feliu,juny,19,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1114,36,78,ABP Baix Empordà - Sant Feliu,juny,132,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,860,49,78,ABP Baix Empordà - Sant Feliu,juny,142,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,367,9,78,ABP Baix Empordà - Sant Feliu,juny,12,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,109,23,78,ABP Baix Empordà - Sant Feliu,juny,23,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,55,4,78,ABP Baix Empordà - Sant Feliu,juny,20,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24210,28,1,60,ABP Baix Empordà - Sant Feliu,maig,16,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,805,25,65,ABP Baix Empordà - Sant Feliu,maig,113,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,675,65,65,ABP Baix Empordà - Sant Feliu,maig,92,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,302,12,65,ABP Baix Empordà - Sant Feliu,maig,7,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,50,37,65,ABP Baix Empordà - Sant Feliu,maig,31,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,60,4,65,ABP Baix Empordà - Sant Feliu,maig,21,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24216,30,0,36,ABP Baix Empordà - Sant Feliu,març,22,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,739,32,42,ABP Baix Empordà - Sant Feliu,març,107,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,833,72,42,ABP Baix Empordà - Sant Feliu,març,178,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,223,8,42,ABP Baix Empordà - Sant Feliu,març,16,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,46,18,42,ABP Baix Empordà - Sant Feliu,març,23,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,55,4,42,ABP Baix Empordà - Sant Feliu,març,20,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,46,0,143,ABP Baix Empordà - Sant Feliu,novembre,21,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,610,14,143,ABP Baix Empordà - Sant Feliu,novembre,106,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,764,48,143,ABP Baix Empordà - Sant Feliu,novembre,83,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,254,9,143,ABP Baix Empordà - Sant Feliu,novembre,9,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,56,20,143,ABP Baix Empordà - Sant Feliu,novembre,28,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,49,0,143,ABP Baix Empordà - Sant Feliu,novembre,22,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,39,5,130,ABP Baix Empordà - Sant Feliu,octubre,16,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,766,23,130,ABP Baix Empordà - Sant Feliu,octubre,101,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,586,49,130,ABP Baix Empordà - Sant Feliu,octubre,71,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,292,15,130,ABP Baix Empordà - Sant Feliu,octubre,43,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,41,4,130,ABP Baix Empordà - Sant Feliu,octubre,17,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,64,2,130,ABP Baix Empordà - Sant Feliu,octubre,24,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,35,1,117,ABP Baix Empordà - Sant Feliu,setembre,19,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1124,21,117,ABP Baix Empordà - Sant Feliu,setembre,135,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,601,45,117,ABP Baix Empordà - Sant Feliu,setembre,70,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,367,13,117,ABP Baix Empordà - Sant Feliu,setembre,23,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,83,29,117,ABP Baix Empordà - Sant Feliu,setembre,35,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,54,2,117,ABP Baix Empordà - Sant Feliu,setembre,28,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,57,5,52,ABP Baix Penedès,abril,38,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1288,26,52,ABP Baix Penedès,abril,144,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1295,172,52,ABP Baix Penedès,abril,189,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,430,18,52,ABP Baix Penedès,abril,30,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,225,40,52,ABP Baix Penedès,abril,56,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,90,8,52,ABP Baix Penedès,abril,42,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,91,1,104,ABP Baix Penedès,agost,56,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2498,50,104,ABP Baix Penedès,agost,155,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1114,171,104,ABP Baix Penedès,agost,183,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,566,24,104,ABP Baix Penedès,agost,29,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,418,100,104,ABP Baix Penedès,agost,105,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,118,9,104,ABP Baix Penedès,agost,43,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,77,1,156,ABP Baix Penedès,desembre,54,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1357,19,156,ABP Baix Penedès,desembre,144,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1320,112,156,ABP Baix Penedès,desembre,172,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,402,18,156,ABP Baix Penedès,desembre,19,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,217,57,156,ABP Baix Penedès,desembre,60,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,73,7,156,ABP Baix Penedès,desembre,23,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,74,0,28,ABP Baix Penedès,febrer,55,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1388,41,28,ABP Baix Penedès,febrer,198,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1487,178,28,ABP Baix Penedès,febrer,251,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,442,43,28,ABP Baix Penedès,febrer,74,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,229,83,28,ABP Baix Penedès,febrer,82,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,90,20,28,ABP Baix Penedès,febrer,55,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,78,2,14,ABP Baix Penedès,gener,53,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1328,33,14,ABP Baix Penedès,gener,144,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1525,119,14,ABP Baix Penedès,gener,182,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,525,19,14,ABP Baix Penedès,gener,35,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,210,69,14,ABP Baix Penedès,gener,75,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,112,5,14,ABP Baix Penedès,gener,48,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,87,0,91,ABP Baix Penedès,juliol,49,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2305,49,91,ABP Baix Penedès,juliol,165,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1113,127,91,ABP Baix Penedès,juliol,167,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,554,23,91,ABP Baix Penedès,juliol,25,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,380,93,91,ABP Baix Penedès,juliol,107,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,95,7,91,ABP Baix Penedès,juliol,33,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,79,4,78,ABP Baix Penedès,juny,54,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1608,30,78,ABP Baix Penedès,juny,142,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1216,148,78,ABP Baix Penedès,juny,233,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,450,16,78,ABP Baix Penedès,juny,29,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,331,105,78,ABP Baix Penedès,juny,93,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,99,16,78,ABP Baix Penedès,juny,46,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24210,91,2,60,ABP Baix Penedès,maig,56,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1416,31,65,ABP Baix Penedès,maig,157,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1340,161,65,ABP Baix Penedès,maig,214,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,397,23,65,ABP Baix Penedès,maig,29,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,236,55,65,ABP Baix Penedès,maig,89,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,101,11,65,ABP Baix Penedès,maig,33,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,67,4,42,ABP Baix Penedès,març,46,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1507,40,42,ABP Baix Penedès,març,206,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1541,213,42,ABP Baix Penedès,març,279,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,449,28,42,ABP Baix Penedès,març,34,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,214,93,42,ABP Baix Penedès,març,74,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,103,11,42,ABP Baix Penedès,març,43,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,80,3,143,ABP Baix Penedès,novembre,53,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1406,33,143,ABP Baix Penedès,novembre,156,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1225,146,143,ABP Baix Penedès,novembre,157,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,369,19,143,ABP Baix Penedès,novembre,39,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,195,73,143,ABP Baix Penedès,novembre,69,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,82,9,143,ABP Baix Penedès,novembre,24,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,76,3,130,ABP Baix Penedès,octubre,56,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1504,41,130,ABP Baix Penedès,octubre,156,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1126,133,130,ABP Baix Penedès,octubre,163,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,384,17,130,ABP Baix Penedès,octubre,24,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,205,60,130,ABP Baix Penedès,octubre,72,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,105,13,130,ABP Baix Penedès,octubre,40,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,75,6,117,ABP Baix Penedès,setembre,45,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1782,45,117,ABP Baix Penedès,setembre,163,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1023,137,117,ABP Baix Penedès,setembre,164,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,426,22,117,ABP Baix Penedès,setembre,25,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,284,98,117,ABP Baix Penedès,setembre,110,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,107,14,117,ABP Baix Penedès,setembre,49,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
18151,10,1,36,ABP Barcelona,abril,6,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,964,14,52,ABP Barcelona,abril,17,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16130,12,9,32,ABP Barcelona,abril,2,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24201,107,11,48,ABP Barcelona,abril,2,RP Metropolitana Barcelona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,152,14,52,ABP Barcelona,abril,12,RP Metropolitana Barcelona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22176,11,0,44,ABP Barcelona,abril,10,RP Metropolitana Barcelona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
20172,11,1,80,ABP Barcelona,agost,8,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1341,27,104,ABP Barcelona,agost,13,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24201,21,6,96,ABP Barcelona,agost,1,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,130,0,104,ABP Barcelona,agost,0,RP Metropolitana Barcelona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,163,16,104,ABP Barcelona,agost,11,RP Metropolitana Barcelona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16136,14,0,64,ABP Barcelona,agost,4,RP Metropolitana Barcelona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16144,14,0,96,ABP Barcelona,desembre,10,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1275,20,156,ABP Barcelona,desembre,22,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16126,10,9,96,ABP Barcelona,desembre,1,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,123,2,156,ABP Barcelona,desembre,0,RP Metropolitana Barcelona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,206,11,156,ABP Barcelona,desembre,13,RP Metropolitana Barcelona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
18142,14,0,108,ABP Barcelona,desembre,7,RP Metropolitana Barcelona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16154,13,1,16,ABP Barcelona,febrer,5,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,963,22,28,ABP Barcelona,febrer,23,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24201,13,12,24,ABP Barcelona,febrer,2,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,115,1,28,ABP Barcelona,febrer,1,RP Metropolitana Barcelona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,169,13,28,ABP Barcelona,febrer,8,RP Metropolitana Barcelona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,15,2,28,ABP Barcelona,febrer,11,RP Metropolitana Barcelona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
18161,8,4,9,ABP Barcelona,gener,5,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1009,16,14,ABP Barcelona,gener,18,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16125,13,4,8,ABP Barcelona,gener,2,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,139,5,14,ABP Barcelona,gener,4,RP Metropolitana Barcelona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,182,13,14,ABP Barcelona,gener,14,RP Metropolitana Barcelona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
14111,16,0,7,ABP Barcelona,gener,8,RP Metropolitana Barcelona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
16144,13,3,56,ABP Barcelona,juliol,6,RP Metropolitana Barcelona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1427,38,91,ABP Barcelona,juliol,25,RP Metropolitana Barcelona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
18145,13,4,63,ABP Barcelona,juliol,1,RP Metropolitana Barcelona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
