Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,815,59,91,ABP Alt Camp - C. de Barberà,juliol,79,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,164,2,91,ABP Alt Camp - C. de Barberà,juliol,8,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,75,19,91,ABP Alt Camp - C. de Barberà,juliol,23,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,42,8,91,ABP Alt Camp - C. de Barberà,juliol,18,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
20179,20,4,60,ABP Alt Camp - C. de Barberà,juny,12,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,415,11,78,ABP Alt Camp - C. de Barberà,juny,69,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,807,70,78,ABP Alt Camp - C. de Barberà,juny,119,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,134,9,78,ABP Alt Camp - C. de Barberà,juny,17,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,58,34,78,ABP Alt Camp - C. de Barberà,juny,31,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,41,5,78,ABP Alt Camp - C. de Barberà,juny,19,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22197,23,0,55,ABP Alt Camp - C. de Barberà,maig,17,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,472,17,65,ABP Alt Camp - C. de Barberà,maig,62,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,935,82,65,ABP Alt Camp - C. de Barberà,maig,116,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,183,12,65,ABP Alt Camp - C. de Barberà,maig,32,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,48,21,65,ABP Alt Camp - C. de Barberà,maig,20,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,50,2,65,ABP Alt Camp - C. de Barberà,maig,20,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22199,25,0,33,ABP Alt Camp - C. de Barberà,març,20,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,530,15,42,ABP Alt Camp - C. de Barberà,març,99,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,891,66,42,ABP Alt Camp - C. de Barberà,març,120,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,198,11,42,ABP Alt Camp - C. de Barberà,març,24,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,59,27,42,ABP Alt Camp - C. de Barberà,març,33,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26224,67,11,39,ABP Alt Camp - C. de Barberà,març,35,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
20163,17,0,110,ABP Alt Camp - C. de Barberà,novembre,13,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,467,12,143,ABP Alt Camp - C. de Barberà,novembre,68,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,839,41,143,ABP Alt Camp - C. de Barberà,novembre,74,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
