SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2023S2,TOTAL,Y025,TOTAL,POP,p,88939
2023S2,TOTAL,Y026,M,POP,p,46402
2023S2,TOTAL,Y026,F,POP,p,43931
2023S2,TOTAL,Y026,TOTAL,POP,p,90333
2023S2,TOTAL,Y027,M,POP,p,46782
2023S2,TOTAL,Y027,F,POP,p,44407
2023S2,TOTAL,Y027,TOTAL,POP,p,91189
2023S2,TOTAL,Y028,M,POP,p,47545
2023S2,TOTAL,Y028,F,POP,p,45696
2023S2,TOTAL,Y028,TOTAL,POP,p,93241
2023S2,TOTAL,Y029,M,POP,p,48439
2023S2,TOTAL,Y029,F,POP,p,46873
2023S2,TOTAL,Y029,TOTAL,POP,p,95312
2023S2,TOTAL,Y030,M,POP,p,49586
2023S2,TOTAL,Y030,F,POP,p,47911
2023S2,TOTAL,Y030,TOTAL,POP,p,97497
2023S2,TOTAL,Y031,M,POP,p,49994
2023S2,TOTAL,Y031,F,POP,p,48225
2023S2,TOTAL,Y031,TOTAL,POP,p,98219
2023S2,TOTAL,Y032,M,POP,p,49907
2023S2,TOTAL,Y032,F,POP,p,48322
2023S2,TOTAL,Y032,TOTAL,POP,p,98229
2023S2,TOTAL,Y033,M,POP,p,50096
2023S2,TOTAL,Y033,F,POP,p,48939
2023S2,TOTAL,Y033,TOTAL,POP,p,99035
2023S2,TOTAL,Y034,M,POP,p,50246
2023S2,TOTAL,Y034,F,POP,p,49615
2023S2,TOTAL,Y034,TOTAL,POP,p,99861
2023S2,TOTAL,Y035,M,POP,p,50655
2023S2,TOTAL,Y035,F,POP,p,50060
2023S2,TOTAL,Y035,TOTAL,POP,p,100715
2023S2,TOTAL,Y036,M,POP,p,50605
2023S2,TOTAL,Y036,F,POP,p,50580
2023S2,TOTAL,Y036,TOTAL,POP,p,101185
2023S2,TOTAL,Y037,M,POP,p,51538
2023S2,TOTAL,Y037,F,POP,p,51842
2023S2,TOTAL,Y037,TOTAL,POP,p,103380
2023S2,TOTAL,Y038,M,POP,p,53070
2023S2,TOTAL,Y038,F,POP,p,52974
2023S2,TOTAL,Y038,TOTAL,POP,p,106044
2023S2,TOTAL,Y039,M,POP,p,54144
2023S2,TOTAL,Y039,F,POP,p,54231
2023S2,TOTAL,Y039,TOTAL,POP,p,108375
2023S2,TOTAL,Y040,M,POP,p,56482
2023S2,TOTAL,Y040,F,POP,p,56281
2023S2,TOTAL,Y040,TOTAL,POP,p,112763
2023S2,TOTAL,Y041,M,POP,p,59435
2023S2,TOTAL,Y041,F,POP,p,58433
2023S2,TOTAL,Y041,TOTAL,POP,p,117868
2023S2,TOTAL,Y042,M,POP,p,61956
2023S2,TOTAL,Y042,F,POP,p,60861
2023S2,TOTAL,Y042,TOTAL,POP,p,122817
2023S2,TOTAL,Y043,M,POP,p,64266
2023S2,TOTAL,Y043,F,POP,p,63084
2023S2,TOTAL,Y043,TOTAL,POP,p,127350
2023S2,TOTAL,Y044,M,POP,p,67095
2023S2,TOTAL,Y044,F,POP,p,65018
2023S2,TOTAL,Y044,TOTAL,POP,p,132113
2023S2,TOTAL,Y045,M,POP,p,69267
2023S2,TOTAL,Y045,F,POP,p,66781
2023S2,TOTAL,Y045,TOTAL,POP,p,136048
2023S2,TOTAL,Y046,M,POP,p,70070
2023S2,TOTAL,Y046,F,POP,p,67572
2023S2,TOTAL,Y046,TOTAL,POP,p,137642
2023S2,TOTAL,Y047,M,POP,p,70522
2023S2,TOTAL,Y047,F,POP,p,67810
2023S2,TOTAL,Y047,TOTAL,POP,p,138332
2023S2,TOTAL,Y048,M,POP,p,70118
2023S2,TOTAL,Y048,F,POP,p,67195
