SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1981S1,TOTAL,Y026,F,POP,,42394
1981S1,TOTAL,Y026,TOTAL,POP,,84328
1981S1,TOTAL,Y027,M,POP,,42673
1981S1,TOTAL,Y027,F,POP,,42229
1981S1,TOTAL,Y027,TOTAL,POP,,84902
1981S1,TOTAL,Y028,M,POP,,42827
1981S1,TOTAL,Y028,F,POP,,43113
1981S1,TOTAL,Y028,TOTAL,POP,,85940
1981S1,TOTAL,Y029,M,POP,,41519
1981S1,TOTAL,Y029,F,POP,,41036
1981S1,TOTAL,Y029,TOTAL,POP,,82555
1981S1,TOTAL,Y030,M,POP,,40437
1981S1,TOTAL,Y030,F,POP,,40779
1981S1,TOTAL,Y030,TOTAL,POP,,81216
1981S1,TOTAL,Y031,M,POP,,42879
1981S1,TOTAL,Y031,F,POP,,42277
1981S1,TOTAL,Y031,TOTAL,POP,,85156
1981S1,TOTAL,Y032,M,POP,,46014
1981S1,TOTAL,Y032,F,POP,,45726
1981S1,TOTAL,Y032,TOTAL,POP,,91740
1981S1,TOTAL,Y033,M,POP,,42502
1981S1,TOTAL,Y033,F,POP,,42054
1981S1,TOTAL,Y033,TOTAL,POP,,84556
1981S1,TOTAL,Y034,M,POP,,40226
1981S1,TOTAL,Y034,F,POP,,39445
1981S1,TOTAL,Y034,TOTAL,POP,,79671
1981S1,TOTAL,Y035,M,POP,,42932
1981S1,TOTAL,Y035,F,POP,,42186
1981S1,TOTAL,Y035,TOTAL,POP,,85118
1981S1,TOTAL,Y036,M,POP,,40322
1981S1,TOTAL,Y036,F,POP,,40268
1981S1,TOTAL,Y036,TOTAL,POP,,80590
1981S1,TOTAL,Y037,M,POP,,39758
1981S1,TOTAL,Y037,F,POP,,39140
1981S1,TOTAL,Y037,TOTAL,POP,,78898
1981S1,TOTAL,Y038,M,POP,,34671
1981S1,TOTAL,Y038,F,POP,,33364
1981S1,TOTAL,Y038,TOTAL,POP,,68035
1981S1,TOTAL,Y039,M,POP,,32392
1981S1,TOTAL,Y039,F,POP,,31324
1981S1,TOTAL,Y039,TOTAL,POP,,63716
1981S1,TOTAL,Y040,M,POP,,42152
1981S1,TOTAL,Y040,F,POP,,40280
1981S1,TOTAL,Y040,TOTAL,POP,,82432
1981S1,TOTAL,Y041,M,POP,,24073
1981S1,TOTAL,Y041,F,POP,,23517
1981S1,TOTAL,Y041,TOTAL,POP,,47590
1981S1,TOTAL,Y042,M,POP,,29371
1981S1,TOTAL,Y042,F,POP,,29119
1981S1,TOTAL,Y042,TOTAL,POP,,58490
1981S1,TOTAL,Y043,M,POP,,36468
1981S1,TOTAL,Y043,F,POP,,35315
1981S1,TOTAL,Y043,TOTAL,POP,,71783
1981S1,TOTAL,Y044,M,POP,,38651
1981S1,TOTAL,Y044,F,POP,,39758
1981S1,TOTAL,Y044,TOTAL,POP,,78409
1981S1,TOTAL,Y045,M,POP,,37298
1981S1,TOTAL,Y045,F,POP,,37243
1981S1,TOTAL,Y045,TOTAL,POP,,74541
1981S1,TOTAL,Y046,M,POP,,36711
1981S1,TOTAL,Y046,F,POP,,36805
1981S1,TOTAL,Y046,TOTAL,POP,,73516
1981S1,TOTAL,Y047,M,POP,,38452
1981S1,TOTAL,Y047,F,POP,,39383
1981S1,TOTAL,Y047,TOTAL,POP,,77835
1981S1,TOTAL,Y048,M,POP,,37752
1981S1,TOTAL,Y048,F,POP,,39096
1981S1,TOTAL,Y048,TOTAL,POP,,76848
